TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	1052	15509535	SRCC MARKETING (P	HL 	227	82089	24	227	0		1	6	261	261	ORGS	CTT150	NV	2	*	48	*		 	1052	ORGS,CTT150,NV,CL 2,*,48,*	43
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	749	15509541	SRCC MARKETING (P	HL 	31	82089	24	31	0		1	6	261	261	ORGS	CTT150	TO	1	*	64	*		 	749	ORGS,CTT150,TO,CL 1,*,64,*	43
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			30-JUL-26	30-JUL-26	3767	15564170	WESTFALIA MARKETI	HL 	125	82089	24	125	0	1012	1	6	261	261	AVOS	TR040	AX	12	*	16	*		 	3767	AVOS,TR040,AX,LOWEST CLASS,*,16,*	14
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			30-JUL-26	30-JUL-26	301	15564170	WESTFALIA MARKETI	HL 	60	82089	24	60	0		1	6	261	261	AVOS	TR040	AX	12	*	16	*		 	301	AVOS,TR040,AX,LOWEST CLASS,*,16,*	14
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			10-AUG-26	10-AUG-26	2706	15581590	WESTFALIA MARKETI	HL 	44	82089	24	44	0		1	6	261	261	AVOS	TR040	AE	2	*	14	*		 	2706	AVOS,TR040,AE,CL 2,*,14,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			10-AUG-26	10-AUG-26	3906	15581584	WESTFALIA MARKETI	HL 	15	82089	24	15	0		1	6	261	261	AVOS	TR040	AE	2	*	14	*		 	3906	AVOS,TR040,AE,CL 2,*,14,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	8711	15563683	WESTFALIA MARKETI	HL 	20	82089	24	20	0		1	6	261	261	AVOS	BG160	AX	2	M	*	*		*	8711	AVOS,BG160,AX,CL 2,M,*,*	13
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			29-JUL-26	29-JUL-26	94	15558934	WESTFALIA MARKETI	HL 	36	82089	24	36	0		1	6	261	261	AVOS	SP170	AK	2	*	*	*		 	94	AVOS,SP170,AK,CL 2,*,*,*	15
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			08-AUG-26	08-AUG-26	1998	15578640	WESTFALIA MARKETI	HL 	64	82089	24	64	0		1	6	261	261	AVOS	SP170	AE	2	*	*	*		 	1998	AVOS,SP170,AE,CL 2,*,*,*	5
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			10-AUG-26	10-AUG-26	7452	15581559	WESTFALIA MARKETI	HL 	264	82089	24	264	0		1	6	261	261	AVOS	TR040	AE	1	*	10	*		 	7452	AVOS,TR040,AE,CL 1,*,10,*	3
